filename,compound,neg,neu,pos,VERB,NOUN,PRON,ADJ,ADV,ADP,CONJ,DET,NUM,PRT,X,.,perc_not_in_aspell,avg_suggestion_length,entities_per_sentence,entities_per_word,avg_tree_height
clueweb12-1111wb-02-20778,-0.05,0.10,0.82,0.08,0.15,0.29,0.04,0.10,0.06,0.10,0.03,0.10,0.01,0.02,0.00,0.10,0.03,35.45,0.49,0.03,2.41
clueweb12-0908wb-84-06714,0.30,0.00,0.85,0.15,0.19,0.23,0.09,0.13,0.09,0.11,0.02,0.09,0.00,0.00,0.00,0.06,0.06,31.00,0.00,0.00,2.00
clueweb12-0108wb-23-29722,-0.13,0.13,0.81,0.06,0.12,0.31,0.04,0.12,0.02,0.11,0.05,0.08,0.00,0.02,0.00,0.14,0.02,25.82,0.60,0.03,2.51
clueweb12-0210wb-70-17102,-0.02,0.09,0.84,0.08,0.17,0.28,0.05,0.08,0.05,0.09,0.03,0.11,0.00,0.03,0.00,0.10,0.04,29.29,0.55,0.03,2.34
clueweb12-0200wb-88-04313,-0.00,0.05,0.90,0.05,0.12,0.40,0.00,0.09,0.02,0.13,0.04,0.05,0.00,0.02,0.00,0.12,0.09,21.75,1.36,0.03,2.89
clueweb12-0205wb-32-18204,0.25,0.05,0.84,0.11,0.14,0.35,0.03,0.05,0.03,0.12,0.03,0.09,0.01,0.02,0.00,0.12,0.04,23.40,1.80,0.07,2.40
clueweb12-0103wb-40-02156,-0.05,0.08,0.82,0.10,0.20,0.21,0.10,0.05,0.07,0.12,0.03,0.10,0.03,0.03,0.00,0.06,0.05,41.73,0.19,0.01,2.16
clueweb12-1411wb-38-11630,0.13,0.05,0.85,0.10,0.15,0.25,0.04,0.11,0.05,0.11,0.05,0.07,0.01,0.02,0.00,0.15,0.08,33.74,0.70,0.03,2.40
clueweb12-0508wb-77-06659,-0.09,0.11,0.82,0.08,0.14,0.26,0.04,0.12,0.05,0.10,0.05,0.06,0.00,0.03,0.00,0.14,0.03,20.35,0.39,0.02,2.35
clueweb12-1509wb-24-16812,0.16,0.08,0.80,0.12,0.16,0.31,0.03,0.08,0.05,0.11,0.04,0.09,0.01,0.03,0.00,0.10,0.04,29.41,0.53,0.02,2.33
clueweb12-1114wb-07-14219,-0.15,0.24,0.62,0.14,0.18,0.32,0.04,0.12,0.05,0.10,0.03,0.07,0.01,0.02,0.00,0.06,0.06,21.27,1.67,0.06,2.67
clueweb12-0800tw-73-25855,-0.03,0.09,0.88,0.04,0.11,0.31,0.01,0.07,0.01,0.12,0.03,0.15,0.04,0.01,0.00,0.12,0.05,31.14,0.18,0.01,2.18
clueweb12-0207wb-21-14527,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0003wb-02-14339,0.06,0.05,0.88,0.08,0.18,0.28,0.07,0.07,0.04,0.09,0.04,0.08,0.01,0.03,0.00,0.11,0.04,28.34,0.37,0.02,2.26
clueweb12-1514wb-51-00761,0.08,0.07,0.82,0.10,0.20,0.19,0.13,0.03,0.04,0.08,0.03,0.05,0.04,0.02,0.00,0.19,0.11,37.55,0.24,0.02,2.24
clueweb12-1502wb-60-11615,0.24,0.02,0.89,0.09,0.19,0.27,0.04,0.10,0.05,0.13,0.05,0.04,0.02,0.02,0.00,0.09,0.16,39.43,0.67,0.03,2.33
clueweb12-0302wb-19-21847,0.06,0.00,0.97,0.03,0.11,0.30,0.01,0.09,0.02,0.12,0.04,0.16,0.01,0.02,0.00,0.13,0.02,26.44,0.22,0.01,2.22
clueweb12-0807wb-57-10762,0.09,0.04,0.88,0.07,0.16,0.31,0.02,0.07,0.03,0.11,0.05,0.10,0.02,0.03,0.00,0.10,0.07,30.86,0.95,0.03,2.57
clueweb12-0002wb-40-18081,0.03,0.01,0.97,0.02,0.13,0.30,0.01,0.09,0.03,0.11,0.04,0.10,0.02,0.03,0.00,0.14,0.11,29.65,0.46,0.03,2.31
clueweb12-1714wb-21-18488,-0.23,0.13,0.84,0.03,0.13,0.29,0.02,0.11,0.04,0.13,0.03,0.09,0.01,0.01,0.00,0.14,0.05,28.95,0.48,0.03,2.39
clueweb12-0704wb-21-04622,0.29,0.03,0.64,0.33,0.19,0.19,0.14,0.10,0.04,0.05,0.01,0.06,0.00,0.07,0.00,0.13,0.04,31.12,0.24,0.02,2.24
clueweb12-1914wb-22-28759,-0.10,0.07,0.88,0.04,0.13,0.32,0.01,0.10,0.03,0.13,0.04,0.07,0.04,0.02,0.00,0.12,0.12,27.06,1.07,0.04,2.56
clueweb12-1706wb-13-06065,0.09,0.06,0.83,0.11,0.17,0.25,0.06,0.10,0.05,0.10,0.04,0.07,0.01,0.03,0.00,0.11,0.08,20.59,0.38,0.02,2.38
clueweb12-0211wb-65-29382,0.29,0.01,0.88,0.10,0.15,0.30,0.02,0.08,0.03,0.12,0.05,0.12,0.00,0.03,0.00,0.09,0.02,25.72,0.39,0.01,2.30
clueweb12-0816wb-89-17011,0.02,0.10,0.79,0.11,0.15,0.30,0.01,0.13,0.04,0.11,0.04,0.08,0.00,0.03,0.00,0.11,0.00,3.00,0.29,0.02,2.24
clueweb12-1609wb-86-12649,0.17,0.05,0.84,0.12,0.20,0.28,0.09,0.08,0.05,0.10,0.02,0.08,0.01,0.02,0.00,0.07,0.07,43.71,0.44,0.01,2.38
clueweb12-1909wb-23-22176,-0.00,0.08,0.83,0.09,0.17,0.27,0.06,0.08,0.05,0.11,0.03,0.10,0.02,0.03,0.00,0.10,0.03,26.80,0.27,0.01,2.20
clueweb12-0010wb-19-04689,0.05,0.06,0.86,0.09,0.15,0.27,0.06,0.09,0.07,0.10,0.03,0.08,0.02,0.04,0.00,0.11,0.12,22.61,1.14,0.06,2.66
clueweb12-0307wb-91-23668,-0.21,0.17,0.77,0.06,0.16,0.24,0.08,0.07,0.07,0.08,0.04,0.07,0.03,0.03,0.00,0.13,0.07,36.14,0.37,0.02,2.25
clueweb12-1909wb-90-20268,0.12,0.04,0.84,0.11,0.18,0.23,0.09,0.06,0.05,0.11,0.01,0.09,0.03,0.02,0.00,0.13,0.05,40.96,0.30,0.02,2.30
clueweb12-0702wb-69-33663,0.19,0.02,0.89,0.09,0.23,0.19,0.11,0.08,0.07,0.08,0.06,0.07,0.00,0.03,0.00,0.09,0.03,34.71,0.19,0.01,2.19
clueweb12-0202wb-22-25057,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0300wb-07-28386,0.05,0.09,0.83,0.08,0.14,0.31,0.00,0.10,0.05,0.16,0.04,0.08,0.01,0.01,0.00,0.09,0.04,13.45,0.64,0.03,2.45
clueweb12-0202wb-28-02772,-0.00,0.09,0.84,0.07,0.17,0.27,0.05,0.09,0.04,0.09,0.03,0.08,0.02,0.03,0.00,0.12,0.04,33.43,0.54,0.03,2.43
clueweb12-0004wb-64-33248,-0.09,0.09,0.85,0.05,0.13,0.34,0.01,0.09,0.02,0.10,0.04,0.07,0.01,0.05,0.00,0.13,0.10,32.02,0.99,0.05,2.70
clueweb12-1312wb-00-28784,-0.14,0.09,0.87,0.04,0.17,0.26,0.01,0.09,0.04,0.10,0.05,0.13,0.00,0.02,0.00,0.13,0.03,25.89,0.15,0.01,2.13
clueweb12-1807wb-38-03314,-0.10,0.06,0.90,0.04,0.12,0.29,0.01,0.12,0.04,0.14,0.02,0.09,0.04,0.02,0.00,0.09,0.09,27.34,0.52,0.02,2.40
clueweb12-1802wb-92-26818,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0101wb-92-15129,-0.01,0.06,0.86,0.08,0.16,0.29,0.06,0.09,0.03,0.11,0.03,0.07,0.01,0.03,0.00,0.12,0.04,27.71,0.38,0.03,2.27
clueweb12-0101wb-28-19295,0.16,0.06,0.85,0.09,0.22,0.22,0.12,0.05,0.03,0.11,0.05,0.06,0.01,0.02,0.00,0.10,0.05,25.55,0.67,0.02,2.40
clueweb12-0011wb-11-03542,0.10,0.02,0.93,0.05,0.12,0.28,0.02,0.10,0.03,0.16,0.03,0.12,0.04,0.03,0.00,0.09,0.08,31.44,0.80,0.02,2.33
clueweb12-1020wb-53-02734,-0.27,0.16,0.76,0.08,0.18,0.25,0.05,0.08,0.04,0.10,0.04,0.11,0.01,0.03,0.00,0.10,0.03,25.89,0.50,0.02,2.34
clueweb12-1511wb-21-24767,0.25,0.04,0.81,0.15,0.16,0.29,0.05,0.09,0.04,0.11,0.03,0.10,0.01,0.02,0.00,0.09,0.07,22.51,0.51,0.03,2.39
clueweb12-1709wb-01-06772,-0.05,0.09,0.84,0.07,0.13,0.30,0.03,0.09,0.02,0.13,0.04,0.08,0.04,0.02,0.00,0.10,0.05,25.10,0.52,0.03,2.30
clueweb12-1213wb-52-16644,-0.01,0.00,1.00,0.00,0.18,0.19,0.04,0.04,0.05,0.07,0.03,0.08,0.01,0.04,0.01,0.26,0.27,41.61,0.57,0.02,2.43
clueweb12-1211wb-04-20566,0.19,0.05,0.81,0.14,0.13,0.39,0.00,0.09,0.01,0.09,0.04,0.09,0.00,0.03,0.00,0.12,0.04,22.60,3.20,0.14,3.00
clueweb12-1107wb-74-06795,0.16,0.02,0.90,0.08,0.18,0.30,0.01,0.10,0.05,0.09,0.08,0.06,0.01,0.02,0.00,0.10,0.09,9.72,0.36,0.02,2.21
clueweb12-0815wb-55-13366,-0.16,0.09,0.88,0.03,0.15,0.32,0.01,0.13,0.03,0.13,0.03,0.05,0.01,0.01,0.00,0.14,0.11,17.25,0.77,0.03,2.60
clueweb12-0000wb-48-07261,-0.00,0.05,0.86,0.09,0.19,0.21,0.10,0.06,0.07,0.09,0.04,0.08,0.02,0.03,0.00,0.11,0.07,36.12,0.38,0.02,2.30
clueweb12-0208wb-73-09815,-0.14,0.07,0.90,0.03,0.17,0.27,0.04,0.13,0.03,0.11,0.04,0.08,0.00,0.03,0.00,0.10,0.06,14.12,0.56,0.02,2.44
clueweb12-0818wb-86-16390,0.03,0.07,0.85,0.08,0.19,0.23,0.06,0.08,0.07,0.11,0.04,0.10,0.01,0.03,0.00,0.09,0.05,27.97,0.55,0.02,2.33
clueweb12-0806wb-35-04441,0.16,0.03,0.87,0.10,0.19,0.26,0.03,0.10,0.05,0.10,0.03,0.11,0.01,0.03,0.00,0.09,0.03,28.78,0.18,0.01,2.17
clueweb12-1305wb-97-10638,0.27,0.02,0.86,0.12,0.17,0.22,0.07,0.10,0.03,0.11,0.05,0.10,0.00,0.02,0.00,0.12,0.05,29.68,0.15,0.01,2.15
clueweb12-1000wb-93-19462,-0.02,0.05,0.90,0.05,0.16,0.26,0.02,0.10,0.03,0.12,0.04,0.15,0.01,0.04,0.00,0.08,0.04,32.44,0.23,0.01,2.23
clueweb12-0305wb-48-28090,-0.20,0.06,0.93,0.01,0.07,0.41,0.01,0.11,0.00,0.08,0.07,0.03,0.01,0.03,0.00,0.17,0.11,13.57,1.80,0.04,2.80
clueweb12-0609wb-28-32770,0.56,0.00,0.72,0.27,0.14,0.28,0.08,0.07,0.05,0.09,0.03,0.05,0.01,0.04,0.00,0.16,0.08,26.00,0.58,0.02,2.50
clueweb12-1201wb-92-13672,0.09,0.04,0.87,0.09,0.14,0.29,0.08,0.08,0.04,0.12,0.04,0.06,0.02,0.01,0.00,0.11,0.06,19.27,0.20,0.01,2.16
clueweb12-1906wb-22-09639,0.12,0.04,0.86,0.09,0.15,0.28,0.04,0.09,0.05,0.11,0.03,0.11,0.01,0.02,0.00,0.12,0.03,36.19,0.41,0.02,2.30
clueweb12-0717wb-14-02662,0.05,0.09,0.80,0.11,0.18,0.25,0.05,0.09,0.06,0.11,0.03,0.10,0.01,0.03,0.00,0.10,0.03,23.63,0.28,0.01,2.23
clueweb12-1304wb-64-13045,0.05,0.10,0.76,0.14,0.16,0.28,0.01,0.12,0.06,0.09,0.04,0.08,0.01,0.04,0.00,0.12,0.10,32.89,1.09,0.04,2.66
clueweb12-0209wb-26-27154,-0.22,0.13,0.82,0.05,0.18,0.30,0.01,0.10,0.04,0.12,0.03,0.12,0.01,0.03,0.00,0.08,0.05,18.43,0.27,0.01,2.25
clueweb12-1705wb-52-02123,0.07,0.06,0.84,0.10,0.19,0.26,0.04,0.09,0.06,0.12,0.02,0.11,0.01,0.03,0.00,0.07,0.01,34.16,0.19,0.01,2.19
clueweb12-0204wb-48-13799,0.00,0.00,1.00,0.00,0.08,0.32,0.06,0.18,0.03,0.08,0.10,0.03,0.00,0.00,0.00,0.11,0.03,21.50,0.00,0.00,2.00
clueweb12-0203wb-15-34708,0.08,0.04,0.89,0.07,0.21,0.17,0.11,0.06,0.07,0.11,0.03,0.09,0.02,0.07,0.00,0.06,0.05,26.74,0.56,0.02,2.38
clueweb12-1411wb-49-07173,-0.08,0.07,0.90,0.03,0.13,0.33,0.00,0.08,0.04,0.10,0.02,0.10,0.01,0.04,0.00,0.15,0.08,25.28,0.97,0.06,2.38
clueweb12-0200wb-66-33934,-0.00,0.05,0.91,0.04,0.11,0.31,0.01,0.12,0.03,0.12,0.03,0.07,0.05,0.01,0.00,0.14,0.13,28.84,1.05,0.04,2.58
clueweb12-0403wb-39-12020,0.60,0.13,0.70,0.17,0.26,0.22,0.15,0.02,0.12,0.10,0.02,0.06,0.00,0.02,0.00,0.04,0.10,46.25,1.00,0.01,3.00
clueweb12-1514wb-74-16288,0.06,0.11,0.74,0.16,0.21,0.21,0.07,0.07,0.09,0.11,0.03,0.08,0.01,0.03,0.00,0.09,0.03,25.54,0.27,0.01,2.24
clueweb12-1806wb-27-12416,0.08,0.06,0.84,0.10,0.21,0.21,0.09,0.06,0.06,0.10,0.03,0.10,0.01,0.04,0.00,0.09,0.03,40.17,0.16,0.01,2.11
clueweb12-1907wb-10-07258,-0.06,0.10,0.82,0.08,0.22,0.19,0.08,0.09,0.07,0.11,0.05,0.07,0.01,0.04,0.00,0.07,0.02,29.44,0.08,0.00,2.08
clueweb12-0111wb-57-08700,0.12,0.05,0.83,0.12,0.15,0.33,0.02,0.09,0.03,0.10,0.05,0.08,0.01,0.02,0.00,0.12,0.04,26.12,0.65,0.03,2.39
clueweb12-1115wb-24-05603,-0.30,0.16,0.75,0.09,0.14,0.33,0.03,0.09,0.03,0.11,0.04,0.07,0.04,0.02,0.00,0.10,0.08,33.80,0.71,0.02,2.41
clueweb12-0109wb-23-03446,-0.06,0.08,0.89,0.03,0.18,0.28,0.01,0.09,0.06,0.09,0.03,0.10,0.02,0.02,0.00,0.12,0.04,37.41,0.25,0.02,2.20
clueweb12-1807wb-13-10124,0.11,0.09,0.77,0.13,0.14,0.34,0.02,0.09,0.03,0.06,0.06,0.06,0.01,0.02,0.00,0.18,0.03,23.42,0.57,0.03,2.43
clueweb12-0200wb-12-29291,-0.16,0.11,0.82,0.05,0.15,0.31,0.02,0.08,0.04,0.09,0.05,0.08,0.01,0.06,0.00,0.11,0.09,32.85,0.93,0.05,2.61
clueweb12-1801wb-36-18037,0.06,0.10,0.78,0.12,0.16,0.36,0.05,0.07,0.05,0.10,0.03,0.04,0.00,0.05,0.00,0.09,0.03,12.47,0.76,0.04,2.40
clueweb12-0005wb-77-18418,0.15,0.07,0.81,0.12,0.15,0.31,0.04,0.07,0.06,0.08,0.04,0.06,0.06,0.01,0.00,0.13,0.08,41.40,1.43,0.08,2.86
clueweb12-0112wb-68-30110,0.11,0.05,0.77,0.18,0.19,0.20,0.06,0.11,0.03,0.09,0.03,0.10,0.03,0.04,0.00,0.12,0.01,17.00,0.25,0.03,2.25
clueweb12-1604wb-02-27604,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0300wb-35-27810,-0.21,0.13,0.83,0.03,0.14,0.36,0.04,0.11,0.03,0.08,0.04,0.08,0.01,0.01,0.00,0.10,0.09,21.22,0.45,0.03,2.27
clueweb12-0306wb-53-13480,0.09,0.06,0.87,0.07,0.20,0.27,0.03,0.08,0.04,0.07,0.07,0.10,0.01,0.05,0.00,0.08,0.00,0.00,0.80,0.04,2.20
clueweb12-0108wb-53-20014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0100tw-30-17781,0.29,0.04,0.83,0.13,0.27,0.17,0.08,0.03,0.10,0.06,0.03,0.14,0.02,0.03,0.00,0.06,0.05,31.33,0.25,0.02,2.25
clueweb12-1705wb-28-08586,-0.05,0.06,0.90,0.04,0.14,0.28,0.01,0.14,0.04,0.11,0.03,0.09,0.02,0.01,0.00,0.12,0.10,21.87,0.33,0.02,2.26
clueweb12-1901wb-94-00013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-1608wb-39-01948,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0201wb-90-25416,-0.14,0.14,0.81,0.05,0.08,0.32,0.00,0.09,0.03,0.16,0.04,0.09,0.00,0.00,0.00,0.19,0.02,20.94,0.59,0.05,2.57
clueweb12-0302wb-80-10456,0.11,0.00,0.96,0.03,0.15,0.41,0.01,0.07,0.02,0.13,0.03,0.07,0.01,0.03,0.00,0.08,0.03,32.29,2.38,0.10,2.75
clueweb12-0005wb-65-04829,-0.08,0.07,0.88,0.05,0.15,0.31,0.03,0.11,0.07,0.11,0.05,0.06,0.00,0.02,0.00,0.09,0.09,7.76,0.75,0.03,2.12
clueweb12-0409wb-03-00797,-0.24,0.18,0.73,0.10,0.20,0.23,0.05,0.08,0.05,0.12,0.03,0.09,0.02,0.04,0.00,0.08,0.02,37.09,0.72,0.02,2.51
clueweb12-0203wb-37-02877,0.44,0.00,0.79,0.21,0.07,0.40,0.04,0.14,0.00,0.09,0.07,0.05,0.00,0.00,0.00,0.14,0.09,10.80,0.25,0.02,2.25
clueweb12-1303wb-68-11319,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0205wb-51-02944,0.18,0.02,0.91,0.07,0.14,0.29,0.02,0.11,0.05,0.11,0.03,0.09,0.01,0.02,0.00,0.12,0.05,20.24,0.53,0.02,2.33
clueweb12-0916wb-80-08193,-0.06,0.12,0.81,0.07,0.17,0.29,0.03,0.09,0.05,0.10,0.03,0.11,0.01,0.03,0.00,0.11,0.04,22.91,0.62,0.03,2.44
clueweb12-1201wb-41-20220,0.03,0.05,0.87,0.09,0.10,0.33,0.02,0.10,0.01,0.10,0.03,0.08,0.04,0.02,0.00,0.16,0.14,37.79,1.85,0.05,2.80
clueweb12-1209wb-09-34814,-0.29,0.17,0.78,0.05,0.15,0.29,0.02,0.13,0.02,0.09,0.04,0.11,0.01,0.05,0.00,0.09,0.02,21.50,0.33,0.02,2.33
clueweb12-1516wb-40-01774,-0.29,0.09,0.92,0.00,0.10,0.36,0.00,0.05,0.05,0.13,0.03,0.15,0.03,0.00,0.00,0.10,0.10,18.00,2.00,0.10,3.00
clueweb12-1114wb-81-21701,-0.16,0.14,0.80,0.07,0.18,0.28,0.06,0.07,0.04,0.09,0.04,0.08,0.01,0.03,0.00,0.12,0.03,33.24,0.36,0.02,2.26
clueweb12-0410wb-79-14508,0.01,0.05,0.90,0.05,0.15,0.30,0.03,0.09,0.03,0.13,0.03,0.09,0.02,0.03,0.00,0.10,0.08,30.15,1.71,0.06,2.76
clueweb12-1503wb-69-02029,0.31,0.05,0.66,0.29,0.17,0.31,0.09,0.05,0.05,0.10,0.03,0.05,0.00,0.02,0.00,0.12,0.09,37.00,0.00,0.00,2.00
clueweb12-0210wb-59-01948,-0.13,0.09,0.88,0.03,0.14,0.32,0.00,0.05,0.05,0.12,0.03,0.09,0.05,0.05,0.00,0.11,0.07,32.00,0.44,0.03,2.44
clueweb12-0917wb-07-12390,0.15,0.07,0.78,0.15,0.18,0.27,0.05,0.08,0.06,0.09,0.04,0.09,0.01,0.03,0.00,0.09,0.02,21.44,0.47,0.02,2.45
clueweb12-1800wb-84-04036,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-1213wb-94-03593,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0009wb-31-01105,0.23,0.06,0.80,0.14,0.19,0.28,0.03,0.10,0.03,0.11,0.05,0.08,0.00,0.03,0.00,0.10,0.06,27.63,0.74,0.03,2.55
clueweb12-1308wb-43-14361,-0.10,0.09,0.88,0.03,0.10,0.31,0.01,0.14,0.04,0.10,0.03,0.08,0.04,0.01,0.00,0.14,0.14,24.43,0.29,0.02,2.27
clueweb12-0100wb-81-02018,-0.17,0.10,0.84,0.06,0.15,0.31,0.02,0.08,0.04,0.11,0.04,0.08,0.03,0.02,0.00,0.12,0.12,26.26,0.97,0.04,2.60
clueweb12-0104wb-44-06557,-0.11,0.08,0.86,0.06,0.17,0.26,0.04,0.09,0.04,0.10,0.04,0.06,0.02,0.04,0.00,0.12,0.03,37.09,0.00,0.00,2.00
clueweb12-0300wb-49-13659,0.02,0.06,0.85,0.09,0.14,0.33,0.03,0.09,0.03,0.09,0.04,0.08,0.03,0.02,0.00,0.12,0.05,35.89,0.86,0.05,2.45
clueweb12-0304wb-61-26957,-0.06,0.06,0.89,0.05,0.12,0.33,0.00,0.16,0.02,0.11,0.05,0.06,0.01,0.02,0.00,0.11,0.11,21.90,0.93,0.04,2.56
clueweb12-1902wb-67-12694,-0.02,0.06,0.88,0.06,0.17,0.25,0.06,0.09,0.04,0.11,0.04,0.09,0.02,0.03,0.00,0.11,0.04,30.17,0.35,0.02,2.26
clueweb12-1214wb-81-12299,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0806wb-21-25131,-0.15,0.09,0.88,0.04,0.10,0.32,0.02,0.13,0.01,0.13,0.04,0.06,0.05,0.01,0.00,0.14,0.10,30.50,1.25,0.04,2.67
clueweb12-1803wb-95-04680,0.05,0.01,0.95,0.03,0.15,0.33,0.02,0.13,0.03,0.14,0.02,0.11,0.00,0.01,0.00,0.07,0.06,23.20,0.79,0.03,2.63
clueweb12-0003wb-78-12239,-0.17,0.12,0.83,0.05,0.15,0.28,0.02,0.07,0.05,0.09,0.05,0.10,0.01,0.03,0.00,0.14,0.04,26.24,0.62,0.03,2.45
clueweb12-1503wb-00-13349,0.07,0.06,0.83,0.11,0.17,0.23,0.08,0.08,0.05,0.10,0.04,0.09,0.02,0.03,0.00,0.12,0.06,27.04,0.34,0.02,2.22
clueweb12-1609wb-05-10912,-0.05,0.08,0.85,0.08,0.18,0.29,0.04,0.07,0.05,0.12,0.04,0.08,0.00,0.02,0.00,0.11,0.07,19.43,0.85,0.04,2.63
clueweb12-0210wb-52-26821,0.29,0.00,0.82,0.18,0.14,0.33,0.07,0.06,0.03,0.10,0.01,0.07,0.01,0.02,0.00,0.15,0.02,31.00,0.57,0.05,2.43
clueweb12-1108wb-62-12054,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0200wb-28-21492,-0.14,0.08,0.91,0.01,0.14,0.29,0.01,0.11,0.05,0.11,0.03,0.12,0.02,0.02,0.00,0.10,0.06,19.85,0.18,0.01,2.09
clueweb12-0111wb-87-14564,0.06,0.07,0.83,0.10,0.19,0.18,0.15,0.06,0.07,0.08,0.05,0.07,0.01,0.03,0.00,0.14,0.03,40.62,0.12,0.01,2.12
clueweb12-0906wb-94-06810,0.42,0.00,0.87,0.13,0.18,0.33,0.02,0.09,0.02,0.10,0.03,0.10,0.01,0.05,0.00,0.07,0.08,26.72,1.00,0.03,2.71
clueweb12-1802wb-78-02428,0.12,0.08,0.77,0.16,0.17,0.24,0.08,0.07,0.05,0.07,0.04,0.07,0.01,0.03,0.00,0.16,0.09,43.46,0.55,0.03,2.39
clueweb12-0204wb-47-13607,-0.13,0.12,0.84,0.05,0.09,0.30,0.02,0.15,0.03,0.13,0.03,0.11,0.00,0.00,0.00,0.14,0.02,7.50,0.64,0.03,2.45
clueweb12-0700tw-80-10653,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-1408wb-81-30140,-0.17,0.13,0.80,0.07,0.15,0.33,0.03,0.10,0.03,0.11,0.03,0.10,0.01,0.04,0.00,0.08,0.07,27.48,1.47,0.05,2.71
clueweb12-0502wb-16-03991,-0.17,0.13,0.82,0.05,0.14,0.31,0.04,0.12,0.04,0.10,0.04,0.07,0.01,0.02,0.00,0.11,0.03,23.71,0.40,0.02,2.38
clueweb12-0400tw-31-17770,-0.21,0.09,0.91,0.00,0.14,0.35,0.03,0.09,0.04,0.06,0.01,0.09,0.07,0.01,0.00,0.11,0.09,38.14,0.40,0.03,2.40
clueweb12-1507wb-40-01271,0.07,0.07,0.83,0.10,0.19,0.26,0.05,0.08,0.04,0.09,0.03,0.11,0.00,0.02,0.00,0.13,0.02,19.04,0.17,0.01,2.16
clueweb12-1513wb-51-05100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
clueweb12-0601wb-13-31027,-0.09,0.08,0.87,0.06,0.15,0.28,0.03,0.08,0.05,0.11,0.03,0.09,0.01,0.03,0.00,0.13,0.05,30.43,0.24,0.01,2.24
clueweb12-0601wb-17-14767,0.42,0.00,0.83,0.17,0.08,0.44,0.03,0.07,0.02,0.08,0.04,0.06,0.03,0.02,0.00,0.13,0.09,25.42,2.22,0.08,2.63
clueweb12-0310wb-79-05203,0.10,0.00,0.88,0.12,0.09,0.29,0.00,0.06,0.04,0.04,0.03,0.03,0.00,0.00,0.00,0.41,0.28,52.95,0.40,0.03,2.40
clueweb12-0800tw-38-06890,-0.27,0.18,0.77,0.05,0.19,0.22,0.06,0.12,0.07,0.09,0.04,0.10,0.01,0.03,0.00,0.07,0.02,14.36,0.18,0.01,2.18
clueweb12-0005wb-89-09622,-0.03,0.12,0.78,0.10,0.16,0.30,0.08,0.07,0.05,0.09,0.03,0.08,0.01,0.03,0.00,0.09,0.05,30.53,1.14,0.05,2.65
clueweb12-1515wb-20-14286,-0.03,0.08,0.86,0.07,0.18,0.26,0.05,0.08,0.04,0.10,0.04,0.08,0.01,0.03,0.00,0.12,0.03,25.27,0.34,0.02,2.27
clueweb12-0201wb-35-33177,-0.00,0.04,0.92,0.04,0.19,0.29,0.01,0.07,0.04,0.09,0.03,0.12,0.03,0.02,0.00,0.10,0.05,23.83,0.38,0.03,2.33
clueweb12-1117wb-79-15283,0.06,0.07,0.83,0.10,0.15,0.29,0.01,0.09,0.06,0.10,0.03,0.09,0.01,0.01,0.00,0.15,0.05,25.90,0.25,0.02,2.24
