filename,n_chv_concepts,n_chv_dsyn_concepts,n_chv_sosy_concepts,avg_chv_value_all,avg_chv_alue_dsyn,avg_chv_value_sosy
clueweb12-1106wb-82-18988,11,0,0,0.832,0.000,0.000
clueweb12-1204wb-71-24589,328,12,12,0.750,0.626,0.905
clueweb12-0411wb-36-29211,298,11,5,0.727,0.721,0.811
clueweb12-0205wb-15-16625,93,3,0,0.665,0.558,0.000
clueweb12-1700wb-11-33851,58,0,0,0.757,0.000,0.000
clueweb12-0300tw-10-16983,72,7,6,0.743,0.468,0.774
clueweb12-0604wb-96-23493,1340,25,6,0.774,0.736,0.776
clueweb12-0911wb-63-11271,0,0,0,0.000,0.000,0.000
clueweb12-0207wb-84-30796,860,1,0,0.792,0.888,0.000
clueweb12-0203wb-84-06364,0,0,0,0.000,0.000,0.000
clueweb12-1811wb-74-20205,2030,28,57,0.812,0.864,0.928
clueweb12-1315wb-46-19855,2754,36,25,0.790,0.818,0.524
clueweb12-0506wb-27-11375,1907,93,58,0.764,0.662,0.937
clueweb12-1702wb-41-14956,27,0,5,0.739,0.000,0.809
clueweb12-0411wb-23-35743,59,3,0,0.758,0.681,0.000
clueweb12-0600tw-46-20137,75,4,0,0.747,0.304,0.000
clueweb12-0602wb-50-25305,1581,72,21,0.747,0.650,0.756
clueweb12-0305wb-87-26468,219,4,0,0.752,0.697,0.000
clueweb12-0302wb-59-07897,381,10,38,0.759,0.740,0.654
clueweb12-0207wb-43-18429,363,6,10,0.788,0.659,0.853
clueweb12-1012wb-26-19135,74,5,0,0.783,0.888,0.000
clueweb12-1008wb-47-19975,17,1,0,0.833,0.888,0.000
clueweb12-0303wb-21-31612,347,17,1,0.790,0.773,0.571
clueweb12-0107wb-07-07364,313,22,5,0.749,0.599,0.896
clueweb12-0103wb-01-27769,0,0,0,0.000,0.000,0.000
clueweb12-1021wb-11-31841,139,2,2,0.787,0.888,0.955
clueweb12-0303wb-11-20529,580,11,6,0.729,0.738,0.811
clueweb12-0600tw-42-12091,405,9,4,0.731,0.789,0.571
clueweb12-1703wb-65-19260,251,21,6,0.747,0.601,0.910
clueweb12-0210wb-48-12542,5075,130,41,0.747,0.623,0.782
clueweb12-1507wb-40-12221,2967,29,30,0.737,0.764,0.819
clueweb12-0606wb-30-31316,1537,92,80,0.733,0.646,0.797
clueweb12-0204wb-40-03334,87,1,0,0.760,0.361,0.000
clueweb12-0200wb-81-07859,13,0,0,0.703,0.000,0.000
clueweb12-1807wb-02-18032,42,8,1,0.665,0.628,0.711
clueweb12-1813wb-78-00361,651,16,7,0.732,0.598,0.697
clueweb12-0112wb-25-26946,4606,46,36,0.747,0.802,0.800
clueweb12-1807wb-61-11677,307,24,11,0.768,0.639,0.885
clueweb12-0207wb-20-30449,235,2,9,0.773,0.726,0.887
clueweb12-0303wb-97-09607,1444,26,89,0.700,0.634,0.802
clueweb12-0200wb-65-24356,120,0,2,0.847,0.000,0.748
clueweb12-1100tw-96-16227,370,8,11,0.731,0.653,0.848
clueweb12-1410wb-29-05847,122,2,0,0.794,0.327,0.000
clueweb12-0201wb-95-28815,203,1,0,0.756,0.368,0.000
clueweb12-0302wb-28-16306,253,37,4,0.807,0.763,0.846
clueweb12-1513wb-32-02445,1172,14,4,0.704,0.575,0.685
clueweb12-0203wb-15-16332,473,5,27,0.708,0.643,0.857
clueweb12-1413wb-25-25963,168,4,0,0.702,0.608,0.000
clueweb12-0108wb-53-06949,145,4,6,0.811,0.783,0.860
clueweb12-0111wb-71-13968,256,4,3,0.782,0.614,0.731../data/clef16docs/clueweb12-1406wb-06-14959,96,1,0,0.816,0.888,0.000
clueweb12-0601wb-30-23367,29,2,0,0.668,0.425,0.000
clueweb12-0706wb-43-06954,828,84,9,0.775,0.596,0.742
clueweb12-0701wb-68-33934,95,2,4,0.807,0.888,0.873
clueweb12-1204wb-04-07671,379,11,6,0.717,0.603,0.737
clueweb12-1808wb-95-18487,30,1,0,0.756,0.888,0.000
clueweb12-0710wb-00-18360,119,1,0,0.769,0.413,0.000
clueweb12-1907wb-29-16003,118,4,0,0.806,0.688,0.000
clueweb12-1811wb-96-26782,0,0,0,0.000,0.000,0.000
clueweb12-1410wb-17-23342,122,7,0,0.685,0.503,0.000
clueweb12-0702wb-76-26848,0,0,0,0.000,0.000,0.000
clueweb12-0110wb-97-05599,0,0,0,0.000,0.000,0.000
clueweb12-1900wb-93-15552,382,26,8,0.721,0.623,0.836
clueweb12-0209wb-51-32861,566,17,14,0.753,0.597,0.802
clueweb12-0204wb-12-02648,0,0,0,0.000,0.000,0.000
clueweb12-1416wb-18-11691,236,1,1,0.805,0.888,0.567
clueweb12-1602wb-04-27161,27,2,0,0.721,0.453,0.000
clueweb12-0211wb-93-05461,153,7,10,0.734,0.592,0.839
clueweb12-0303wb-31-01245,4045,56,28,0.774,0.639,0.847
clueweb12-1306wb-87-23286,24,0,0,0.768,0.000,0.000
clueweb12-0110wb-11-01442,11,0,0,0.829,0.000,0.000
clueweb12-1103wb-32-24145,619,37,41,0.743,0.517,0.831
clueweb12-1717wb-32-23078,245,17,3,0.754,0.462,0.909
clueweb12-0012wb-36-20467,1979,12,2,0.761,0.705,0.592
clueweb12-0913wb-20-22877,137,6,7,0.733,0.532,0.740
clueweb12-1514wb-91-24640,1719,116,14,0.767,0.492,0.793
clueweb12-0212wb-14-19575,229,15,9,0.715,0.670,0.794
clueweb12-0603wb-69-28892,133,0,2,0.765,0.000,0.687
clueweb12-0909wb-65-12450,1157,12,4,0.728,0.723,0.630
clueweb12-0714wb-72-07726,301,13,13,0.792,0.805,0.886
clueweb12-1302wb-51-16770,192,4,17,0.784,0.657,0.714
clueweb12-0204wb-87-00321,1722,18,4,0.754,0.695,0.636
clueweb12-0502wb-10-34740,326,4,1,0.734,0.673,0.571
clueweb12-0000tw-07-10820,133,1,5,0.766,0.678,0.651
clueweb12-0001wb-26-18929,70,1,0,0.768,0.888,0.000
clueweb12-0408wb-74-30581,3674,82,34,0.716,0.625,0.756
clueweb12-0300wb-93-12835,606,17,12,0.709,0.532,0.737
clueweb12-1611wb-65-13120,526,45,9,0.782,0.660,0.908
clueweb12-0311wb-01-25596,250,3,5,0.765,0.701,0.907
clueweb12-1713wb-93-22891,117,4,7,0.760,0.890,0.934
clueweb12-0818wb-72-07456,966,68,20,0.738,0.575,0.746
clueweb12-1509wb-23-03847,225,0,0,0.799,0.000,0.000
clueweb12-0006wb-66-09350,194,2,7,0.774,0.827,0.803
clueweb12-1203wb-64-08077,217,9,11,0.787,0.745,0.846
clueweb12-1900wb-56-01668,870,2,1,0.759,0.688,0.985
clueweb12-1509wb-03-09411,643,7,13,0.777,0.703,0.907
clueweb12-0814wb-89-23698,2165,39,99,0.796,0.690,0.797
clueweb12-0500wb-43-24662,320,8,7,0.764,0.557,0.801
clueweb12-1113wb-23-16273,431,10,20,0.764,0.604,0.931
clueweb12-1114wb-66-01571,85,0,7,0.706,0.000,0.741
clueweb12-0102wb-62-30666,91,3,9,0.764,0.604,0.788
clueweb12-1801wb-97-29214,290,9,17,0.773,0.765,0.879
clueweb12-1409wb-50-09848,339,11,4,0.725,0.604,0.852
clueweb12-1515wb-11-19524,358,31,0,0.776,0.635,0.000
clueweb12-0715wb-12-20827,174,0,0,0.766,0.000,0.000
clueweb12-1210wb-79-21070,16,0,0,0.576,0.000,0.000
clueweb12-1315wb-06-28490,3247,44,158,0.765,0.570,0.763
clueweb12-0310wb-38-01606,0,0,0,0.000,0.000,0.000
clueweb12-0307wb-69-32072,1229,96,35,0.727,0.580,0.628
clueweb12-0203wb-99-20891,278,10,0,0.750,0.603,0.000
clueweb12-1012wb-52-12698,78,0,4,0.781,0.000,0.900
clueweb12-1405wb-64-14465,103,1,3,0.806,0.608,0.766
clueweb12-1305wb-35-05332,243,4,0,0.796,0.665,0.000
clueweb12-0206wb-74-20003,22,0,0,0.723,0.000,0.000
clueweb12-1019wb-27-00059,219,18,5,0.776,0.660,0.812
clueweb12-0914wb-05-14425,9467,88,259,0.804,0.594,0.831
clueweb12-1514wb-79-11144,240,0,5,0.755,0.000,0.956
clueweb12-1811wb-93-25577,279,30,3,0.763,0.725,0.853
clueweb12-1205wb-29-00944,67,11,1,0.738,0.622,0.926
clueweb12-1403wb-37-32236,2265,149,2,0.711,0.434,0.571
clueweb12-1804wb-40-18158,593,16,12,0.747,0.723,0.886
clueweb12-1712wb-48-08932,54,0,0,0.794,0.000,0.000
clueweb12-0609wb-76-23862,23,1,0,0.709,0.890,0.000
clueweb12-0001wb-83-34019,124,0,1,0.652,0.000,0.593
clueweb12-1416wb-07-21139,1305,18,89,0.776,0.766,0.741
clueweb12-0404wb-43-29562,2994,191,41,0.728,0.615,0.813
clueweb12-0302wb-63-13936,28,0,1,0.815,0.000,0.955
clueweb12-0009wb-03-21070,2390,35,12,0.700,0.593,0.833
clueweb12-0406wb-94-14773,169,0,17,0.782,0.000,0.595
clueweb12-0202wb-57-05981,0,0,0,0.000,0.000,0.000
clueweb12-0100tw-16-19351,342,15,14,0.783,0.554,0.892
clueweb12-0815wb-93-18799,37,0,0,0.819,0.000,0.000
clueweb12-0105wb-19-22173,14,0,0,0.712,0.000,0.000
clueweb12-0011wb-74-24421,119,1,0,0.739,0.888,0.000
clueweb12-1610wb-93-02148,0,0,0,0.000,0.000,0.000
clueweb12-1512wb-06-17120,307,10,12,0.689,0.608,0.707
clueweb12-1501wb-01-05846,14,0,0,0.774,0.000,0.000
clueweb12-1415wb-76-12156,399,4,6,0.784,0.639,0.871
clueweb12-0700wb-17-09463,316,5,18,0.766,0.455,0.734
clueweb12-1604wb-54-14791,0,0,0,0.000,0.000,0.000
clueweb12-1101wb-23-13575,0,0,0,0.000,0.000,0.000
clueweb12-0910wb-23-05125,14,0,0,0.774,0.000,0.000
clueweb12-1902wb-86-10287,185,8,1,0.769,0.628,0.955
clueweb12-1509wb-86-19529,750,6,4,0.764,0.678,0.721
clueweb12-0200wb-47-19767,389,11,4,0.743,0.650,0.920
clueweb12-0607wb-62-22605,147,0,2,0.736,0.000,0.906
clueweb12-0200wb-73-05522,5046,416,51,0.748,0.619,0.786
clueweb12-0609wb-12-06872,127,1,8,0.709,0.347,0.494
clueweb12-0500tw-25-13318,1233,29,19,0.758,0.630,0.719
clueweb12-0917wb-58-24965,1556,25,10,0.735,0.544,0.728
clueweb12-1007wb-29-31328,537,28,27,0.779,0.687,0.768
clueweb12-1401wb-86-04210,23,0,0,0.788,0.000,0.000
clueweb12-0408wb-89-29097,77,3,2,0.748,0.737,0.977
clueweb12-0205wb-13-34740,0,0,0,0.000,0.000,0.000
clueweb12-0107wb-15-05684,2364,84,25,0.656,0.618,0.782
clueweb12-1400tw-41-07786,960,12,9,0.781,0.597,0.776
clueweb12-0210wb-47-10169,233,4,2,0.796,0.726,0.626
clueweb12-1500tw-49-19779,82,0,0,0.814,0.000,0.000
clueweb12-0005wb-24-20422,141,0,1,0.749,0.000,0.941
clueweb12-0102wb-29-19460,8,0,0,0.866,0.000,0.000
clueweb12-0200tw-38-22368,191,1,6,0.757,0.888,0.547
clueweb12-1502wb-86-05023,34,0,0,0.774,0.000,0.000
clueweb12-0504wb-50-24871,38,3,0,0.753,0.760,0.000
clueweb12-0209wb-04-12250,307,16,22,0.731,0.817,0.579
clueweb12-1305wb-34-37455,430,17,3,0.709,0.498,0.723../data/clef16docs/clueweb12-0102wb-74-17468,350,13,2,0.775,0.697,0.683
clueweb12-1609wb-12-05541,2802,84,176,0.800,0.656,0.900
clueweb12-1611wb-67-21058,2099,24,8,0.672,0.646,0.666
clueweb12-1004wb-77-18494,787,14,51,0.778,0.670,0.906
clueweb12-0600wb-76-33999,361,6,3,0.743,0.403,0.884
clueweb12-1913wb-21-17487,651,26,2,0.704,0.475,0.597
clueweb12-1011wb-06-10159,279,1,2,0.769,0.454,0.926
clueweb12-0002wb-67-12142,262,14,1,0.769,0.635,0.571
clueweb12-0400tw-25-14765,0,0,0,0.000,0.000,0.000
clueweb12-0602wb-62-32458,1162,56,72,0.786,0.699,0.914
clueweb12-0107wb-45-12788,333,1,0,0.745,0.588,0.000
clueweb12-1500tw-45-08782,244,4,1,0.803,0.780,0.926
clueweb12-1715wb-90-21298,324,5,1,0.774,0.540,0.571
clueweb12-0404wb-87-12279,221,14,12,0.785,0.864,0.930
clueweb12-0807wb-04-29712,201,18,7,0.729,0.536,0.761
clueweb12-0704wb-79-09045,40,6,0,0.718,0.601,0.000
clueweb12-0311wb-69-27457,744,4,1,0.786,0.327,0.595
clueweb12-0200wb-52-24836,854,8,3,0.762,0.548,0.776
clueweb12-1415wb-50-29336,335,0,3,0.822,0.000,0.711
clueweb12-0300wb-97-22949,185,36,3,0.661,0.280,0.957
clueweb12-0002wb-09-08278,203,35,15,0.730,0.608,0.760
clueweb12-0104wb-70-26188,1006,5,14,0.749,0.888,0.848
clueweb12-1801wb-04-01407,265,4,0,0.778,0.784,0.000
clueweb12-1413wb-15-07658,277,12,21,0.729,0.572,0.721
clueweb12-0507wb-41-32708,895,66,14,0.711,0.607,0.807
clueweb12-1914wb-07-37427,3134,45,59,0.720,0.581,0.712
clueweb12-1003wb-92-09770,2967,304,27,0.744,0.619,0.760
clueweb12-0408wb-19-19918,128,3,0,0.824,0.442,0.000
clueweb12-0900tw-58-18714,3952,20,30,0.795,0.584,0.823
clueweb12-1701wb-93-07950,243,2,2,0.771,0.688,0.773
clueweb12-0100wb-93-14992,226,21,2,0.747,0.627,0.963
clueweb12-0303wb-61-30507,270,18,9,0.770,0.497,0.871
clueweb12-1307wb-25-09493,463,16,10,0.793,0.589,0.851
clueweb12-1615wb-40-11034,94,0,1,0.795,0.000,0.595
clueweb12-1510wb-98-03543,146,2,1,0.817,0.888,0.595
clueweb12-0906wb-38-21266,161,0,2,0.745,0.000,0.763
clueweb12-1601wb-49-15983,2038,85,32,0.779,0.661,0.863
clueweb12-1106wb-97-26664,111,4,4,0.759,0.554,0.705
clueweb12-1705wb-60-06041,2158,14,16,0.742,0.656,0.873
clueweb12-1713wb-77-28046,249,5,12,0.770,0.809,0.852
clueweb12-0709wb-21-03800,131,0,0,0.750,0.000,0.000
clueweb12-0211wb-61-29740,65,1,3,0.787,0.678,0.854
clueweb12-0909wb-34-21941,1402,28,43,0.758,0.706,0.819
clueweb12-1908wb-86-16558,206,4,9,0.820,0.888,0.632
clueweb12-1215wb-97-30590,92,13,7,0.820,0.708,0.890
clueweb12-0918wb-43-25055,32,1,0,0.811,0.888,0.000
clueweb12-0111wb-47-29950,14,0,0,0.853,0.000,0.000
clueweb12-1510wb-42-17207,174,0,4,0.796,0.000,0.826
clueweb12-1612wb-17-11539,764,72,4,0.747,0.545,0.722
clueweb12-0301wb-07-00772,1140,29,30,0.745,0.627,0.825
clueweb12-0601wb-21-20781,588,1,0,0.741,0.327,0.000
clueweb12-1500wb-48-11670,38,0,0,0.787,0.000,0.000
clueweb12-1909wb-26-31236,18,0,1,0.769,0.000,0.847
clueweb12-1806wb-16-31205,46,0,0,0.798,0.000,0.000
clueweb12-0100wb-07-11748,228,1,3,0.762,0.888,0.666
clueweb12-0510wb-58-25078,2181,130,90,0.743,0.577,0.806
clueweb12-0006wb-01-03094,352,5,33,0.754,0.692,0.622
clueweb12-0702wb-05-00073,1134,87,40,0.767,0.674,0.704
clueweb12-1010wb-03-09896,26,0,1,0.794,0.000,0.955
clueweb12-0007wb-70-02338,0,0,0,0.000,0.000,0.000
clueweb12-0006wb-16-19102,0,0,0,0.000,0.000,0.000
clueweb12-0013wb-26-21067,38,0,1,0.750,0.000,0.985
clueweb12-0104wb-21-25167,0,0,0,0.000,0.000,0.000
clueweb12-1607wb-91-22206,16,0,0,0.806,0.000,0.000
clueweb12-1503wb-16-25706,160,10,0,0.756,0.458,0.000
clueweb12-1003wb-25-15865,163,16,0,0.710,0.624,0.000
clueweb12-0200tw-29-04447,0,0,0,0.000,0.000,0.000
clueweb12-1804wb-06-09682,277,28,2,0.741,0.607,0.955
clueweb12-1007wb-28-32820,3451,277,142,0.742,0.604,0.783
clueweb12-0105wb-76-20775,58,0,0,0.735,0.000,0.000
clueweb12-0510wb-47-11869,548,22,8,0.745,0.616,0.773
clueweb12-1408wb-95-05938,3260,107,43,0.774,0.657,0.868
clueweb12-0204wb-30-19066,494,0,4,0.779,0.000,0.571
clueweb12-1206wb-74-02864,342,28,9,0.753,0.535,0.948
clueweb12-1406wb-88-08292,213,8,2,0.816,0.626,0.683
clueweb12-1010wb-96-18120,304,12,0,0.757,0.464,0.000
clueweb12-1608wb-61-16597,450,13,37,0.759,0.694,0.812
clueweb12-0210wb-11-07721,2675,32,8,0.803,0.752,0.757
clueweb12-0102wb-17-08922,287,26,0,0.758,0.553,0.000
clueweb12-1113wb-65-32158,196,6,0,0.746,0.615,0.000
clueweb12-1408wb-02-11124,811,0,2,0.802,0.000,0.767
clueweb12-0307wb-13-29784,50,1,0,0.786,0.888,0.000
clueweb12-1514wb-29-19396,555,7,2,0.704,0.730,0.611
clueweb12-1306wb-90-14954,316,11,19,0.774,0.576,0.835
clueweb12-0100tw-08-04210,86,6,1,0.792,0.684,0.926
clueweb12-0102wb-72-12316,257,3,3,0.729,0.818,0.955
clueweb12-1611wb-15-07028,141,4,0,0.775,0.656,0.000
clueweb12-0107wb-16-00546,1227,82,9,0.705,0.591,0.640
clueweb12-1706wb-32-28224,248,23,2,0.732,0.529,0.896
clueweb12-1308wb-74-24183,13,0,0,0.707,0.000,0.000
clueweb12-1811wb-79-06285,113,2,2,0.789,0.888,0.853
clueweb12-1612wb-96-09983,200,4,2,0.742,0.568,0.683
clueweb12-0011wb-04-09829,877,29,6,0.790,0.619,0.891
clueweb12-0108wb-99-16768,539,21,1,0.775,0.515,0.934
clueweb12-0111wb-18-00125,1958,102,100,0.733,0.577,0.814
clueweb12-0601wb-42-25017,945,0,4,0.829,0.000,0.583
clueweb12-1313wb-28-29640,174,33,18,0.831,0.694,0.899
clueweb12-1306wb-98-05825,402,19,6,0.779,0.623,0.897
clueweb12-0908wb-45-26678,43,0,0,0.807,0.000,0.000
clueweb12-1013wb-50-21995,0,0,0,0.000,0.000,0.000
clueweb12-1906wb-52-23606,601,32,28,0.778,0.680,0.761
clueweb12-0101wb-66-27345,663,32,22,0.776,0.753,0.779
clueweb12-0605wb-30-10614,103,1,0,0.801,0.602,0.000
clueweb12-1908wb-79-38425,369,7,3,0.797,0.674,0.708
clueweb12-1017wb-39-18614,148,9,2,0.770,0.619,0.681
clueweb12-1315wb-25-01841,721,78,5,0.710,0.584,0.684
clueweb12-0405wb-57-26379,0,0,0,0.000,0.000,0.000
clueweb12-0704wb-39-13969,1642,12,55,0.815,0.636,0.840
clueweb12-0409wb-00-12653,103,18,3,0.740,0.609,0.876
clueweb12-1615wb-30-26584,17,0,0,0.592,0.000,0.000
clueweb12-0904wb-62-00164,122,2,1,0.775,0.688,0.832
clueweb12-1513wb-57-15100,128,8,7,0.770,0.646,0.859
clueweb12-0205wb-68-31092,394,19,14,0.781,0.678,0.727
clueweb12-0109wb-74-16390,246,3,14,0.787,0.627,0.696
clueweb12-0112wb-17-27614,1384,17,4,0.747,0.650,0.766../data/clef16docs/clueweb12-1702wb-15-13002,2175,1,6,0.757,0.888,0.621
clueweb12-0011wb-00-28207,543,48,22,0.710,0.705,0.757
clueweb12-1000wb-41-17553,31,1,0,0.826,0.888,0.000
clueweb12-1200wb-38-11299,68,0,1,0.715,0.000,0.900
clueweb12-0501wb-11-25665,46,1,0,0.709,0.888,0.000
clueweb12-1021wb-09-03891,0,0,0,0.000,0.000,0.000
clueweb12-1801wb-82-12700,14,0,0,0.764,0.000,0.000
clueweb12-0203wb-04-06671,737,71,40,0.671,0.597,0.766
clueweb12-0100wb-26-23360,218,10,8,0.810,0.641,0.860
clueweb12-0301wb-22-02269,12,0,0,0.878,0.000,0.000
clueweb12-0500wb-54-06829,974,38,19,0.686,0.674,0.673
clueweb12-0203wb-15-34708,79,0,1,0.835,0.000,0.963
clueweb12-1401wb-06-07947,0,0,0,0.000,0.000,0.000
clueweb12-1905wb-47-02207,91,0,1,0.814,0.000,1.000
clueweb12-1112wb-20-34928,169,5,0,0.817,0.386,0.000
clueweb12-0009wb-05-16284,674,8,33,0.756,0.387,0.834
clueweb12-0200wb-83-24561,86,9,5,0.739,0.560,0.855
clueweb12-0803wb-76-09493,90,0,0,0.755,0.000,0.000
clueweb12-0304wb-40-28096,0,0,0,0.000,0.000,0.000
clueweb12-1118wb-25-02395,98,2,7,0.806,0.627,0.818
clueweb12-1505wb-38-06693,21,0,1,0.772,0.000,0.955
clueweb12-1614wb-21-28244,0,0,0,0.000,0.000,0.000
clueweb12-0109wb-19-11637,1663,135,21,0.745,0.557,0.743
clueweb12-0306wb-36-29184,70,2,0,0.805,0.763,0.000
clueweb12-0100tw-72-07320,600,31,35,0.756,0.548,0.799
clueweb12-1900wb-01-00568,222,3,12,0.786,0.621,0.756
clueweb12-0203wb-31-25427,877,36,24,0.762,0.620,0.740
clueweb12-0008wb-39-10802,726,8,20,0.776,0.688,0.670
clueweb12-0207wb-94-07052,151,5,0,0.687,0.583,0.000
clueweb12-1214wb-86-22067,435,6,2,0.721,0.473,0.571
clueweb12-0704wb-19-19833,564,29,2,0.744,0.587,0.944
clueweb12-1805wb-93-23463,120,0,0,0.696,0.000,0.000
clueweb12-0108wb-39-01861,268,15,16,0.750,0.568,0.695
clueweb12-1416wb-44-02363,319,5,6,0.789,0.427,0.893
clueweb12-1405wb-41-14246,115,4,12,0.788,0.632,0.850
clueweb12-1807wb-55-28914,0,0,0,0.000,0.000,0.000
clueweb12-1112wb-22-12512,2765,52,14,0.757,0.672,0.779
clueweb12-0507wb-46-19050,596,32,12,0.748,0.550,0.794
clueweb12-0800wb-10-10155,2088,37,18,0.785,0.789,0.688
clueweb12-0301wb-20-31926,14,0,0,0.671,0.000,0.000
clueweb12-0804wb-08-08282,3084,26,73,0.779,0.569,0.746
clueweb12-0302wb-45-27763,669,8,8,0.738,0.765,0.796
clueweb12-0012wb-68-04941,173,9,2,0.798,0.641,0.926
clueweb12-0509wb-43-20670,310,27,9,0.731,0.654,0.921
clueweb12-0701wb-23-31675,106,3,1,0.745,0.888,0.955
clueweb12-1205wb-23-13247,0,0,0,0.000,0.000,0.000
clueweb12-0301wb-75-26587,30,0,1,0.818,0.000,0.926
clueweb12-1616wb-71-14733,1203,99,30,0.700,0.646,0.895
clueweb12-1601wb-14-12873,158,0,0,0.766,0.000,0.000
clueweb12-0109wb-06-08151,285,20,1,0.802,0.644,0.676
clueweb12-0607wb-15-03379,0,0,0,0.000,0.000,0.000
clueweb12-0206wb-40-16096,105,2,0,0.681,0.705,0.000
clueweb12-0715wb-79-12810,2369,44,37,0.762,0.546,0.710
clueweb12-0102wb-79-05170,162,10,2,0.783,0.421,0.823
clueweb12-0210wb-11-13434,212,10,4,0.688,0.741,0.948
clueweb12-0506wb-57-06321,1351,8,1,0.617,0.418,0.571
clueweb12-0312wb-30-00988,0,0,0,0.000,0.000,0.000
clueweb12-1101wb-70-18639,2532,48,11,0.750,0.657,0.622
clueweb12-0010wb-57-31305,3403,148,57,0.699,0.541,0.679
clueweb12-0806wb-15-23260,0,0,0,0.000,0.000,0.000
clueweb12-1301wb-06-09148,37,0,0,0.730,0.000,0.000
clueweb12-0205wb-29-07020,284,15,20,0.771,0.582,0.823
clueweb12-0011wb-72-02533,178,3,0,0.749,0.568,0.000
clueweb12-0106wb-05-28352,290,5,3,0.762,0.803,0.799
clueweb12-0305wb-63-02508,127,6,8,0.746,0.473,0.742
clueweb12-1508wb-54-11954,125,8,1,0.670,0.455,0.741
clueweb12-0305wb-64-28264,148,5,2,0.797,0.708,0.926
clueweb12-0108wb-64-06982,1376,17,3,0.726,0.720,0.699
clueweb12-0111wb-71-29814,27,0,0,0.856,0.000,0.000
clueweb12-1515wb-18-14636,9007,379,25,0.645,0.536,0.760
clueweb12-0811wb-49-09246,311,26,5,0.773,0.756,0.872
clueweb12-1801wb-04-20679,352,11,5,0.756,0.904,0.501
clueweb12-0408wb-19-07539,109,3,4,0.819,0.467,0.900
clueweb12-0410wb-51-17776,547,42,38,0.747,0.533,0.754
clueweb12-0915wb-95-10047,395,8,1,0.743,0.625,0.847
clueweb12-1509wb-00-26523,624,17,21,0.783,0.640,0.884
clueweb12-0002wb-36-30759,391,26,40,0.749,0.589,0.696
clueweb12-0505wb-73-01135,173,1,2,0.776,0.888,0.748
clueweb12-1910wb-72-29875,1382,17,7,0.773,0.721,0.660
clueweb12-1407wb-81-06529,77,0,0,0.773,0.000,0.000
clueweb12-0006wb-17-29403,0,0,0,0.000,0.000,0.000
clueweb12-0910wb-31-07226,36,2,2,0.782,0.597,0.959
clueweb12-0508wb-60-23376,26,1,0,0.808,0.542,0.000
clueweb12-1308wb-97-04169,19,0,1,0.769,0.000,0.794
clueweb12-0505wb-58-14553,0,0,0,0.000,0.000,0.000
clueweb12-1704wb-82-23519,974,8,28,0.805,0.579,0.742
clueweb12-0601wb-02-28660,174,13,3,0.731,0.597,0.929
clueweb12-1906wb-55-02434,785,34,3,0.741,0.612,0.712
clueweb12-1805wb-53-05534,67,2,1,0.705,0.473,0.794
clueweb12-0311wb-80-04874,489,7,2,0.799,0.656,0.714
clueweb12-0111wb-92-33186,208,14,0,0.767,0.658,0.000
clueweb12-0603wb-21-31349,301,46,13,0.679,0.464,0.846
clueweb12-0815wb-82-04586,0,0,0,0.000,0.000,0.000
clueweb12-0200wb-82-06990,130,6,1,0.726,0.568,0.955
clueweb12-0102wb-03-21060,210,1,3,0.785,0.888,0.945
clueweb12-0805wb-87-26657,461,2,11,0.761,0.777,0.827
clueweb12-0012wb-95-26344,909,8,13,0.771,0.741,0.870
clueweb12-0111wb-31-13712,126,0,0,0.791,0.000,0.000
clueweb12-1509wb-45-16197,166,3,3,0.743,0.524,0.849
clueweb12-1213wb-12-20153,448,3,3,0.754,0.608,0.779
clueweb12-0409wb-31-12001,3210,148,45,0.700,0.549,0.671
clueweb12-0815wb-48-15905,1399,165,39,0.676,0.689,0.615
clueweb12-1213wb-94-03607,0,0,0,0.000,0.000,0.000
clueweb12-1805wb-15-18631,724,66,8,0.703,0.570,0.688
clueweb12-0600wb-85-31460,270,1,0,0.786,0.888,0.000
clueweb12-1805wb-85-00359,418,12,6,0.756,0.743,0.730
clueweb12-0409wb-30-15855,83,20,5,0.716,0.653,0.874
clueweb12-0009wb-56-19601,46,0,0,0.836,0.000,0.000
clueweb12-0901wb-69-03837,2044,101,43,0.693,0.584,0.669
clueweb12-1714wb-49-21447,836,0,1,0.778,0.000,0.847
clueweb12-1515wb-19-27568,0,0,0,0.000,0.000,0.000
clueweb12-0106wb-21-25289,2350,3,28,0.779,0.423,0.679
clueweb12-1513wb-32-15115,150,4,7,0.719,0.754,0.651
clueweb12-1814wb-80-09301,672,31,20,0.816,0.533,0.845
clueweb12-1406wb-20-00487,132,4,7,0.705,0.684,0.653../data/clef16docs/clueweb12-0209wb-30-18136,573,35,36,0.762,0.588,0.867
clueweb12-0008wb-56-28359,33,0,3,0.724,0.000,0.872
clueweb12-0006wb-63-16030,31,0,0,0.689,0.000,0.000
clueweb12-1602wb-25-11337,0,0,0,0.000,0.000,0.000
clueweb12-0311wb-88-22270,0,0,0,0.000,0.000,0.000
clueweb12-0813wb-68-13603,803,17,58,0.797,0.673,0.738
clueweb12-1711wb-60-26891,0,0,0,0.000,0.000,0.000
clueweb12-0206wb-09-07200,412,33,3,0.744,0.543,0.698
clueweb12-0505wb-99-05670,289,13,7,0.768,0.559,0.682
clueweb12-1200tw-57-04845,0,0,0,0.000,0.000,0.000
clueweb12-1313wb-74-07579,863,26,21,0.736,0.603,0.775
