filename,n_chv_concepts,n_chv_dsyn_concepts,n_chv_sosy_concepts,avg_chv_value_all,avg_chv_value_dsyn,avg_chv_value_sosy,n_msh_concepts,n_msh_dsyn_concepts,n_msh_sosy_concepts,avg_tree_length_all,avg_tree_length_dsyn,avg_tree_length_sosy
clueweb12-0201wb-72-14217,545.0,17.0,11.0,0.726,0.62,0.79,316.0,17.0,9.0,5.117,8.294,7.333
clueweb12-0606wb-64-29864,2658.0,27.0,165.0,0.742,0.626,0.87,1522.0,28.0,147.0,5.784,5.071,11.599
clueweb12-1314wb-42-24998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0304wb-08-12643,181.0,3.0,9.0,0.766,0.888,0.667,76.0,3.0,9.0,4.816,3.333,8.111
clueweb12-1313wb-83-03153,171.0,22.0,13.0,0.711,0.522,0.784,111.0,24.0,9.0,5.901,6.292,11.333
clueweb12-0912wb-46-23435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0906wb-02-16969,600.0,2.0,19.0,0.711,0.628,0.841,303.0,11.0,13.0,5.158,3.909,7.0
clueweb12-1614wb-49-02876,246.0,4.0,8.0,0.829,0.888,0.84,124.0,3.0,2.0,5.25,3.0,11.5
clueweb12-0300wb-81-00811,418.0,6.0,2.0,0.751,0.643,0.831,225.0,7.0,0.0,5.262,4.0,0.0
clueweb12-1600wb-07-03059,4694.0,98.0,79.0,0.755,0.595,0.817,2473.0,105.0,56.0,5.467,5.667,8.929
clueweb12-1012wb-47-18209,934.0,9.0,2.0,0.776,0.722,0.683,455.0,8.0,1.0,4.499,8.25,3.0
clueweb12-1215wb-69-05910,93.0,0.0,1.0,0.767,0.0,0.934,57.0,1.0,1.0,5.474,6.0,16.0
clueweb12-0107wb-82-33084,1378.0,6.0,1.0,0.665,0.644,0.915,719.0,13.0,1.0,4.996,6.769,4.0
clueweb12-1701wb-60-24184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0912wb-24-10843,356.0,5.0,11.0,0.827,0.545,0.893,187.0,6.0,7.0,6.642,9.0,11.571
clueweb12-0307wb-84-18328,162.0,2.0,1.0,0.805,0.738,0.571,78.0,3.0,1.0,9.115,3.333,2.0
clueweb12-1312wb-93-08558,28.0,2.0,0.0,0.723,0.587,0.0,25.0,2.0,0.0,5.72,10.0,0.0
clueweb12-1705wb-32-16724,4660.0,169.0,39.0,0.721,0.592,0.677,2665.0,204.0,34.0,6.011,4.877,6.441
clueweb12-1314wb-60-08117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1509wb-59-23767,526.0,60.0,7.0,0.708,0.559,0.776,315.0,61.0,4.0,5.07,4.016,8.25
clueweb12-0108wb-25-12361,6956.0,93.0,330.0,0.799,0.635,0.789,3765.0,106.0,212.0,6.367,8.632,9.675
clueweb12-1914wb-08-00447,4746.0,182.0,88.0,0.713,0.51,0.677,2721.0,196.0,72.0,5.733,4.719,7.639
clueweb12-0203wb-01-03120,44.0,0.0,0.0,0.799,0.0,0.0,29.0,0.0,0.0,4.621,0.0,0.0
clueweb12-1913wb-35-03671,142.0,8.0,2.0,0.795,0.629,0.775,76.0,8.0,0.0,4.908,3.0,0.0
clueweb12-1914wb-02-11213,365.0,25.0,14.0,0.726,0.634,0.706,228.0,26.0,7.0,6.167,5.5,7.286
clueweb12-1000tw-95-05036,237.0,2.0,5.0,0.81,0.819,0.755,123.0,2.0,1.0,7.0,2.0,10.0
clueweb12-1913wb-52-09813,10.0,1.0,0.0,0.702,0.766,0.0,8.0,1.0,0.0,8.125,4.0,0.0
clueweb12-0208wb-73-09815,162.0,20.0,0.0,0.708,0.553,0.0,103.0,20.0,0.0,5.602,4.35,0.0
clueweb12-1118wb-75-00690,396.0,21.0,15.0,0.719,0.653,0.746,227.0,22.0,12.0,5.899,4.182,7.917
clueweb12-1400wb-57-04148,634.0,21.0,15.0,0.768,0.571,0.782,394.0,21.0,10.0,5.434,5.0,8.2
clueweb12-1300tw-71-22982,55.0,0.0,0.0,0.869,0.0,0.0,32.0,0.0,0.0,7.5,0.0,0.0
clueweb12-0207wb-01-24195,498.0,13.0,14.0,0.789,0.641,0.839,311.0,14.0,11.0,5.961,8.5,12.091
clueweb12-0100wb-04-19269,319.0,7.0,21.0,0.746,0.667,0.885,182.0,6.0,21.0,4.775,3.667,11.238
clueweb12-0008wb-78-12895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1805wb-04-07016,204.0,0.0,0.0,0.791,0.0,0.0,104.0,2.0,0.0,4.75,4.0,0.0
clueweb12-1107wb-77-05349,881.0,54.0,2.0,0.686,0.502,0.571,526.0,65.0,1.0,5.952,7.538,2.0
clueweb12-0306wb-02-06239,497.0,34.0,46.0,0.742,0.717,0.83,291.0,33.0,35.0,6.107,6.364,7.571
clueweb12-0007wb-04-24284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0011wb-44-14385,441.0,29.0,46.0,0.763,0.692,0.725,270.0,28.0,34.0,6.111,4.821,7.794
clueweb12-0408wb-84-00279,1559.0,8.0,6.0,0.691,0.715,0.7,858.0,9.0,2.0,4.576,3.222,7.5
clueweb12-1502wb-13-10262,689.0,0.0,2.0,0.798,0.0,0.583,318.0,0.0,2.0,5.44,0.0,6.0
clueweb12-1910wb-87-23906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0800wb-26-16437,171.0,3.0,0.0,0.755,0.413,0.0,103.0,12.0,0.0,5.252,9.0,0.0
clueweb12-1205wb-93-21757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0910wb-81-26294,809.0,12.0,8.0,0.765,0.59,0.63,488.0,16.0,4.0,5.615,4.625,7.0
clueweb12-0013wb-06-18409,18.0,0.0,0.0,0.799,0.0,0.0,6.0,0.0,0.0,6.333,0.0,0.0
clueweb12-0302wb-65-33685,334.0,1.0,4.0,0.768,0.327,0.789,195.0,1.0,1.0,4.518,22.0,4.0
clueweb12-0606wb-39-01168,623.0,39.0,0.0,0.727,0.656,0.0,390.0,39.0,0.0,5.287,5.667,0.0
clueweb12-0911wb-48-06608,179.0,6.0,5.0,0.804,0.568,0.847,89.0,6.0,3.0,6.315,5.667,6.333
clueweb12-0604wb-43-20415,1082.0,71.0,88.0,0.726,0.629,0.725,710.0,75.0,79.0,5.21,4.813,6.43
clueweb12-0303wb-97-11527,22.0,1.0,0.0,0.754,0.888,0.0,23.0,1.0,0.0,4.739,3.0,0.0
clueweb12-0607wb-62-11955,6440.0,250.0,23.0,0.752,0.542,0.85,3649.0,301.0,10.0,6.444,7.047,10.8
clueweb12-1406wb-49-09172,71.0,1.0,5.0,0.756,0.494,0.826,38.0,1.0,5.0,4.816,3.0,9.0
clueweb12-1700wb-11-03258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0210wb-00-25802,166.0,30.0,1.0,0.694,0.604,0.926,100.0,31.0,0.0,6.25,5.452,0.0
clueweb12-1400wb-57-06027,1397.0,44.0,9.0,0.764,0.73,0.887,787.0,41.0,4.0,5.502,5.0,11.25
clueweb12-0101wb-27-10519,65.0,4.0,0.0,0.806,0.634,0.0,47.0,5.0,0.0,4.745,11.6,0.0
clueweb12-0111wb-33-00517,619.0,37.0,41.0,0.743,0.517,0.831,356.0,41.0,37.0,5.792,5.707,7.73
clueweb12-0909wb-18-20459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0919wb-19-17382,467.0,35.0,12.0,0.666,0.482,0.614,215.0,34.0,13.0,6.065,6.147,6.538
clueweb12-0009wb-80-07576,314.0,2.0,4.0,0.784,0.386,0.801,170.0,2.0,3.0,6.247,16.0,7.0
clueweb12-0802wb-66-01983,3013.0,25.0,9.0,0.823,0.588,0.745,1572.0,32.0,2.0,4.254,12.031,15.0
clueweb12-0711wb-61-10487,422.0,12.0,8.0,0.762,0.679,0.795,211.0,12.0,4.0,4.313,4.0,8.5
clueweb12-1408wb-45-11731,101.0,4.0,2.0,0.757,0.626,0.93,50.0,5.0,2.0,6.28,7.8,12.0
clueweb12-1901wb-81-03197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0402wb-40-25263,3604.0,323.0,131.0,0.712,0.529,0.741,2120.0,314.0,106.0,5.685,5.707,9.538
clueweb12-0407wb-43-02802,184.0,2.0,5.0,0.754,0.683,0.813,111.0,3.0,3.0,5.685,8.0,10.0
clueweb12-0104wb-69-23584,187.0,18.0,1.0,0.701,0.556,0.898,109.0,19.0,1.0,5.266,7.211,10.0
clueweb12-1911wb-64-13253,103.0,0.0,4.0,0.775,0.0,0.947,57.0,0.0,2.0,6.333,0.0,8.0
clueweb12-0405wb-56-15917,36.0,0.0,0.0,0.79,0.0,0.0,24.0,2.0,0.0,7.292,28.0,0.0
clueweb12-1300wb-56-30687,52.0,0.0,1.0,0.632,0.0,0.571,19.0,0.0,0.0,6.526,0.0,0.0
clueweb12-0011wb-96-31852,564.0,9.0,28.0,0.795,0.636,0.828,280.0,10.0,22.0,5.582,7.1,7.182
clueweb12-1715wb-00-03596,347.0,7.0,14.0,0.732,0.724,0.732,231.0,13.0,13.0,6.463,3.308,8.462
clueweb12-1212wb-39-37352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0308wb-71-13080,102.0,3.0,0.0,0.781,0.73,0.0,32.0,3.0,0.0,4.969,10.0,0.0
clueweb12-0509wb-13-23473,324.0,22.0,2.0,0.784,0.579,0.847,214.0,22.0,2.0,4.65,7.545,7.0
clueweb12-1907wb-31-12397,198.0,22.0,13.0,0.757,0.689,0.773,133.0,21.0,12.0,5.564,4.048,6.083
clueweb12-0704wb-21-04622,43.0,0.0,0.0,0.825,0.0,0.0,36.0,2.0,0.0,5.278,4.0,0.0
clueweb12-0812wb-76-09718,742.0,18.0,4.0,0.759,0.582,0.745,425.0,22.0,3.0,7.12,6.818,4.667
clueweb12-1114wb-71-07342,660.0,3.0,18.0,0.804,0.573,0.82,382.0,4.0,17.0,5.979,9.0,9.235
clueweb12-0401wb-20-10932,644.0,38.0,11.0,0.746,0.65,0.801,347.0,39.0,4.0,5.424,4.41,4.75
clueweb12-1314wb-18-03861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1008wb-07-23529,67.0,0.0,2.0,0.768,0.0,0.955,36.0,1.0,2.0,6.444,3.0,13.0
clueweb12-0209wb-51-26763,376.0,0.0,5.0,0.75,0.0,0.799,217.0,1.0,4.0,4.055,3.0,11.0
clueweb12-0011wb-38-31661,152.0,8.0,0.0,0.742,0.45,0.0,100.0,9.0,0.0,4.94,17.667,0.0
clueweb12-1101wb-59-11674,262.0,2.0,2.0,0.808,0.588,0.955,147.0,2.0,2.0,4.218,3.0,13.0
clueweb12-1217wb-31-22091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1300tw-00-21142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0112wb-50-09119,639.0,6.0,8.0,0.781,0.612,0.807,377.0,7.0,3.0,4.626,9.286,5.667
clueweb12-0609wb-37-33531,1073.0,40.0,1.0,0.689,0.707,0.955,697.0,44.0,1.0,5.326,6.614,13.0
clueweb12-0311wb-05-06098,395.0,54.0,35.0,0.745,0.637,0.717,272.0,55.0,26.0,6.64,5.4,7.154
clueweb12-1114wb-84-19394,250.0,3.0,23.0,0.779,0.774,0.698,140.0,4.0,20.0,7.221,4.0,7.7
clueweb12-0202wb-24-23901,507.0,11.0,6.0,0.676,0.52,0.721,225.0,14.0,1.0,5.689,3.929,13.0
clueweb12-0101wb-02-30582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1803wb-11-17091,3229.0,115.0,19.0,0.704,0.561,0.733,1757.0,153.0,18.0,5.968,5.17,7.444
clueweb12-0000wb-53-11431,153.0,24.0,1.0,0.723,0.558,0.955,91.0,13.0,1.0,5.912,4.538,13.0
clueweb12-0304wb-19-06751,151.0,1.0,0.0,0.781,0.888,0.0,88.0,1.0,0.0,5.716,3.0,0.0
clueweb12-1700tw-28-18392,204.0,2.0,0.0,0.79,0.688,0.0,88.0,6.0,0.0,5.466,10.333,0.0
clueweb12-0816wb-21-10896,314.0,1.0,0.0,0.723,0.89,0.0,145.0,1.0,0.0,4.462,6.0,0.0
clueweb12-1710wb-59-10943,2044.0,39.0,79.0,0.759,0.483,0.892,1317.0,41.0,65.0,5.847,4.098,11.708
clueweb12-0800wb-92-01342,189.0,22.0,3.0,0.739,0.648,0.943,117.0,21.0,0.0,6.094,8.333,0.0
clueweb12-0305wb-82-18150,22.0,1.0,0.0,0.806,0.777,0.0,20.0,1.0,0.0,7.3,22.0,0.0
clueweb12-1812wb-25-10068,217.0,3.0,7.0,0.766,0.818,0.73,117.0,3.0,6.0,4.368,3.0,5.5
clueweb12-1716wb-48-13825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0005wb-17-09763,44.0,0.0,0.0,0.693,0.0,0.0,26.0,0.0,0.0,5.923,0.0,0.0
clueweb12-0312wb-25-25808,89.0,9.0,6.0,0.778,0.72,0.883,59.0,10.0,6.0,4.949,4.4,4.0
clueweb12-0511wb-00-05486,443.0,6.0,6.0,0.788,0.535,0.75,226.0,9.0,7.0,5.845,6.222,5.429
clueweb12-0204wb-75-07368,245.0,8.0,3.0,0.759,0.701,0.945,159.0,11.0,2.0,5.27,4.0,13.0
clueweb12-0606wb-94-06508,910.0,11.0,4.0,0.782,0.649,0.655,569.0,13.0,1.0,10.06,6.538,3.0
clueweb12-0700wb-20-22662,336.0,26.0,0.0,0.746,0.649,0.0,216.0,26.0,0.0,4.843,5.885,0.0
clueweb12-0511wb-89-31303,2923.0,224.0,38.0,0.721,0.645,0.805,1737.0,243.0,19.0,4.925,5.864,7.053
clueweb12-1604wb-92-18426,44.0,2.0,0.0,0.75,0.748,0.0,24.0,2.0,0.0,5.042,9.0,0.0
clueweb12-0010wb-74-01007,126.0,0.0,1.0,0.748,0.0,0.657,45.0,0.0,1.0,6.822,0.0,3.0
clueweb12-1117wb-32-11306,12.0,0.0,0.0,0.872,0.0,0.0,10.0,0.0,0.0,4.4,0.0,0.0
clueweb12-1415wb-58-13237,55.0,0.0,0.0,0.765,0.0,0.0,30.0,0.0,0.0,4.733,0.0,0.0
clueweb12-1814wb-31-07790,1095.0,22.0,61.0,0.695,0.624,0.743,606.0,30.0,68.0,6.738,5.8,8.515
clueweb12-1904wb-96-05714,2338.0,36.0,12.0,0.76,0.706,0.879,1301.0,44.0,7.0,5.752,6.75,8.429
clueweb12-0101wb-80-21162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1511wb-99-10799,662.0,96.0,15.0,0.745,0.592,0.848,368.0,66.0,9.0,5.508,5.364,10.0
clueweb12-0305wb-61-00041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0410wb-76-07133,733.0,74.0,8.0,0.693,0.621,0.754,480.0,73.0,8.0,5.019,4.438,10.875
clueweb12-0412wb-00-33909,342.0,7.0,33.0,0.792,0.471,0.872,223.0,8.0,25.0,5.731,7.0,10.92
clueweb12-1313wb-08-10301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0107wb-87-22651,119.0,2.0,0.0,0.759,0.62,0.0,74.0,5.0,0.0,6.081,5.8,0.0
clueweb12-0001wb-32-35672,308.0,2.0,1.0,0.706,0.677,0.595,166.0,2.0,1.0,5.169,3.5,10.0
clueweb12-1904wb-89-17695,21.0,0.0,1.0,0.743,0.0,0.9,11.0,0.0,1.0,3.545,0.0,6.0
clueweb12-1903wb-56-20037,287.0,26.0,0.0,0.758,0.553,0.0,185.0,28.0,0.0,6.778,5.571,0.0
clueweb12-0804wb-92-03161,652.0,17.0,18.0,0.773,0.645,0.825,418.0,20.0,14.0,5.024,4.0,7.429
clueweb12-1801wb-72-21696,36.0,2.0,0.0,0.75,0.888,0.0,17.0,2.0,0.0,6.235,3.0,0.0
clueweb12-0105wb-91-24010,256.0,0.0,0.0,0.774,0.0,0.0,91.0,0.0,0.0,6.11,0.0,0.0
clueweb12-0108wb-24-03757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1100wb-88-02252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1414wb-54-11895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0109wb-90-18164,203.0,1.0,9.0,0.793,0.627,0.637,130.0,1.0,8.0,6.692,6.0,4.0
clueweb12-1401wb-32-04529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0200tw-74-11396,85.0,0.0,2.0,0.788,0.0,0.955,42.0,0.0,2.0,5.667,0.0,13.0
clueweb12-0814wb-78-08459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1414wb-18-05484,376.0,40.0,10.0,0.712,0.597,0.782,255.0,42.0,3.0,6.725,11.167,3.333
clueweb12-0408wb-18-06457,487.0,22.0,5.0,0.733,0.594,0.674,254.0,28.0,4.0,5.177,6.143,5.75
clueweb12-0013wb-23-03530,414.0,34.0,55.0,0.754,0.654,0.719,260.0,39.0,36.0,5.792,5.487,6.611
clueweb12-1100wb-82-00377,1187.0,16.0,19.0,0.795,0.469,0.751,673.0,14.0,8.0,6.522,19.286,4.0
clueweb12-1909wb-35-23113,408.0,10.0,17.0,0.742,0.508,0.845,250.0,10.0,14.0,4.604,4.5,11.929
clueweb12-1804wb-11-03214,259.0,1.0,4.0,0.768,0.678,0.892,93.0,14.0,4.0,5.344,3.929,8.5
clueweb12-1807wb-13-06151,459.0,23.0,32.0,0.74,0.613,0.81,287.0,25.0,27.0,5.833,5.52,8.926
clueweb12-0911wb-24-15668,2878.0,1.0,3.0,0.807,0.277,0.852,774.0,2.0,0.0,5.18,2.5,0.0
clueweb12-0009wb-50-22621,52.0,3.0,3.0,0.744,0.444,0.682,32.0,3.0,2.0,6.562,11.333,7.5
clueweb12-1218wb-06-01776,757.0,20.0,26.0,0.779,0.563,0.899,451.0,24.0,20.0,6.062,9.292,10.15
clueweb12-0902wb-69-23296,66.0,1.0,1.0,0.787,0.327,0.875,35.0,2.0,0.0,4.886,13.0,0.0
clueweb12-0817wb-67-12269,363.0,11.0,5.0,0.735,0.725,0.9,211.0,12.0,3.0,4.9,3.25,13.0
clueweb12-1508wb-08-15757,161.0,10.0,2.0,0.681,0.451,0.955,107.0,11.0,2.0,5.112,6.636,13.0
clueweb12-0011wb-73-23335,1516.0,183.0,31.0,0.689,0.6,0.744,910.0,172.0,24.0,6.165,6.506,7.75
clueweb12-1012wb-19-09654,17.0,0.0,0.0,0.83,0.0,0.0,12.0,0.0,0.0,5.75,0.0,0.0
clueweb12-0000wb-61-36713,50.0,0.0,0.0,0.812,0.0,0.0,22.0,0.0,0.0,5.045,0.0,0.0
clueweb12-1913wb-95-28902,24.0,0.0,2.0,0.579,0.0,0.955,20.0,0.0,2.0,6.8,0.0,13.0
clueweb12-0200wb-94-23524,87.0,5.0,3.0,0.768,0.576,0.674,48.0,5.0,2.0,5.333,3.4,4.0
clueweb12-0704wb-82-26680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1010wb-38-11237,378.0,30.0,1.0,0.746,0.677,0.926,214.0,29.0,0.0,3.916,3.276,0.0
clueweb12-0203wb-28-30879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0608wb-24-12501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0205wb-29-34365,316.0,34.0,2.0,0.728,0.625,0.944,205.0,39.0,0.0,5.263,6.128,0.0
clueweb12-1809wb-13-28231,493.0,3.0,12.0,0.775,0.668,0.791,218.0,6.0,4.0,5.372,8.167,10.25
clueweb12-0411wb-33-08871,1018.0,74.0,7.0,0.724,0.547,0.7,577.0,74.0,8.0,5.222,3.811,6.875
clueweb12-1003wb-13-10017,188.0,4.0,8.0,0.739,0.526,0.887,91.0,4.0,9.0,6.286,6.25,10.222
clueweb12-1306wb-89-17641,165.0,12.0,9.0,0.747,0.649,0.823,78.0,12.0,5.0,5.205,5.0,9.2
clueweb12-0815wb-47-26585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1006wb-06-04080,638.0,6.0,13.0,0.749,0.697,0.796,398.0,7.0,11.0,5.317,15.571,10.455
clueweb12-0307wb-62-15609,306.0,41.0,16.0,0.752,0.637,0.921,154.0,21.0,8.0,5.422,9.952,11.5
clueweb12-1607wb-17-04783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0815wb-22-19740,3070.0,163.0,71.0,0.715,0.55,0.637,1700.0,190.0,61.0,6.108,6.147,9.77
clueweb12-1813wb-60-16066,410.0,10.0,9.0,0.734,0.648,0.861,208.0,11.0,5.0,6.312,5.455,8.6
clueweb12-0716wb-11-17887,226.0,2.0,4.0,0.706,0.888,0.637,147.0,2.0,2.0,6.68,3.0,5.0
clueweb12-0004wb-95-06399,604.0,66.0,4.0,0.752,0.556,0.806,353.0,67.0,4.0,5.207,7.642,8.75
clueweb12-0813wb-43-07458,287.0,2.0,9.0,0.803,0.688,0.828,116.0,2.0,6.0,5.586,5.0,10.833
clueweb12-1813wb-80-30744,664.0,9.0,22.0,0.723,0.605,0.731,365.0,11.0,20.0,6.46,9.545,7.6
clueweb12-0209wb-12-09790,1215.0,14.0,45.0,0.79,0.575,0.78,551.0,15.0,29.0,5.94,7.8,6.828
clueweb12-0204wb-10-28998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0209wb-04-19637,442.0,14.0,5.0,0.724,0.513,0.908,232.0,10.0,5.0,4.608,6.0,7.8
clueweb12-1414wb-87-22240,261.0,1.0,0.0,0.804,0.888,0.0,144.0,2.0,0.0,3.826,3.5,0.0
clueweb12-1600wb-88-03224,324.0,4.0,5.0,0.772,0.885,0.804,169.0,12.0,2.0,5.964,7.75,12.5
clueweb12-0004wb-14-31383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1800tw-52-02742,2963.0,22.0,95.0,0.789,0.655,0.641,1733.0,35.0,78.0,5.369,7.8,8.667
clueweb12-0610wb-09-00923,1067.0,10.0,6.0,0.793,0.802,0.523,634.0,12.0,5.0,4.946,4.75,5.2
clueweb12-0201wb-61-05644,2497.0,42.0,23.0,0.737,0.806,0.82,1590.0,46.0,15.0,4.842,5.022,7.933
clueweb12-0310wb-52-20470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1207wb-90-17726,178.0,0.0,5.0,0.76,0.0,0.865,104.0,1.0,3.0,5.202,28.0,5.667
clueweb12-0001wb-88-04269,112.0,3.0,6.0,0.784,0.61,0.702,62.0,4.0,4.0,5.516,3.75,8.75
clueweb12-1809wb-01-01657,61.0,12.0,1.0,0.679,0.61,0.926,34.0,13.0,0.0,6.294,9.308,0.0
clueweb12-0608wb-21-29287,281.0,9.0,5.0,0.708,0.598,0.646,140.0,10.0,4.0,6.443,7.2,5.0
clueweb12-0402wb-28-16900,1884.0,78.0,22.0,0.754,0.748,0.798,1209.0,84.0,10.0,5.763,5.821,7.9
clueweb12-0501wb-55-06262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0111wb-29-18453,47.0,1.0,0.0,0.705,0.874,0.0,28.0,1.0,0.0,4.5,3.0,0.0
clueweb12-0816wb-81-21926,858.0,45.0,3.0,0.653,0.605,0.571,486.0,48.0,2.0,5.652,6.979,2.0
clueweb12-0202wb-80-04587,73.0,0.0,0.0,0.812,0.0,0.0,41.0,0.0,0.0,4.634,0.0,0.0
clueweb12-1609wb-84-20607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1706wb-88-01933,21.0,0.0,0.0,0.794,0.0,0.0,15.0,0.0,0.0,4.733,0.0,0.0
clueweb12-1116wb-79-22522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1510wb-86-26692,230.0,4.0,16.0,0.815,0.766,0.902,131.0,4.0,15.0,5.427,9.75,12.6
clueweb12-0008wb-78-12881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-0301wb-32-02369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clueweb12-1202wb-93-15534,187.0,5.0,1.0,0.775,0.76,0.926,105.0,5.0,0.0,5.067,4.0,0.0
clueweb12-1211wb-39-20354,255.0,2.0,0.0,0.778,0.534,0.0,159.0,9.0,0.0,6.358,7.778,0.0
clueweb12-0002wb-50-19532,96.0,2.0,0.0,0.611,0.406,0.0,47.0,1.0,0.0,5.702,3.0,0.0
clueweb12-1306wb-77-26060,305.0,9.0,2.0,0.805,0.67,0.748,181.0,11.0,0.0,5.459,7.636,0.0
clueweb12-1912wb-81-19761,14.0,0.0,2.0,0.763,0.0,0.959,9.0,0.0,1.0,6.444,0.0,13.0
clueweb12-0606wb-20-16994,386.0,4.0,3.0,0.76,0.725,0.932,222.0,5.0,3.0,4.153,4.2,10.0
clueweb12-0101wb-81-06244,12.0,0.0,0.0,0.785,0.0,0.0,7.0,0.0,0.0,6.429,0.0,0.0
clueweb12-0007wb-01-21278,653.0,0.0,0.0,0.659,0.0,0.0,297.0,1.0,0.0,5.03,4.0,0.0
clueweb12-0504wb-65-29320,647.0,25.0,2.0,0.714,0.647,0.955,328.0,35.0,2.0,5.655,4.314,13.0
clueweb12-0906wb-97-09573,294.0,2.0,0.0,0.791,0.73,0.0,201.0,3.0,0.0,5.244,3.333,0.0
clueweb12-0302wb-78-26126,214.0,2.0,3.0,0.754,0.888,0.728,129.0,2.0,2.0,4.946,3.0,6.5
clueweb12-1803wb-49-01479,31.0,0.0,0.0,0.793,0.0,0.0,17.0,2.0,0.0,4.765,4.0,0.0
clueweb12-1510wb-46-25731,346.0,16.0,22.0,0.727,0.587,0.693,217.0,17.0,19.0,7.171,5.059,6.474
clueweb12-1813wb-51-29318,18.0,0.0,0.0,0.794,0.0,0.0,10.0,0.0,0.0,7.3,0.0,0.0
clueweb12-0103wb-34-15662,1646.0,106.0,1.0,0.748,0.581,0.607,926.0,108.0,1.0,4.958,3.398,10.0
clueweb12-0802wb-62-17476,271.0,8.0,9.0,0.754,0.534,0.724,113.0,9.0,5.0,5.531,6.556,7.4
